id,text,emotions,Degree
1,Mortar assault leaves at least 18 dead,sadness,50
2,Goal delight for Sheva,joy,50
3,Nigeria hostage feared dead is freed,joy,50
4,Bombers kill shoppers,fear,50
5,"Vegetables, not fruit, slow brain decline",surprise,50
6,PM: Havana deal a good experiment,joy,25
7,Kate is marrying Doherty,joy,50
8,NASA revisiting life on Mars question,surprise,25
9,"Happy birthday, iPod",joy,50
10,Alonso would be happy to retire with three titles,joy,50
11,Madonna's New Tot 'Happy at Home' in London,joy,50
12,Nicole Kidman asks dad to help stop husband's drinking,sadness,25
13,United Finds Good Connection in Win,joy,50
14,'Runway': Making Good Without Making Nice,joy,25
15,"We were 'arrogant and stupid' over Iraq, says US diplomat",sadness,50
16,Bad reasons to be good,sadness,25
17,Madonna's new baby's daddy didn't realize adoption was `for good',surprise,50
18,Women in their 60s 'are perfectly good mothers',sadness,25
19,We're a pretty kind 'bully',joy,25
20,Moderate drinking reduces men's heart attack risk,joy,50
21,Tom Cruise and Katie Holmes set wedding date,joy,50
22,Kidnapped AP photographer freed in Gaza,fear,50
23,"Bush Insists Troops Stay in Iraq, Predicts Midterm Victory",disgust,50
24,Hurricane Paul Weakens To Tropical Storm,surprise,25
25,UK announces immigration restrictions,anger,50
26,Three found alive from missing Russian ship -report,joy,50
27,Poison Pill to Swallow: Hawks Hurting After Loss to Vikes,sadness,25
28,Injured Marathon Winner Leaves Hospital,joy,50
29,Hacker unlocks Apple music download protection,surprise,50
30,Spanish journalist seized in Gaza,fear,50
31,Sudan urges UN to replace its special envoy,surprise,25
32,Resolution approved for international games,joy,50
33,Pair of Satellites Will Document Sun in 3-D,joy,50
34,Martian Life Could Have Evaded Detection by Viking Landers,surprise,25
35,The sweet tune of an anniversary,joy,50
36,Did Viking Probes Miss Life on Mars?,surprise,50
37,Diplomat acknowledges US arrogance in Iraq,anger,50
38,More Human Remains Found at Ground Zero,sadness,50
39,How to Prevent Iraq From Getting Even Worse,fear,50
40,Tensions as Hungary marks uprising,fear,25
1250,Indonesian with bird flu dies,sadness,100
1251,St. Louis poised for entertainment upswing,joy,100
1252,New York City may ban iPods while crossing street,surprise,25
1253,Boy allegedly told to kill by mom gives up,sadness,100
1254,Gray wolves off endangered list,joy,100
1255,Vista's hyped security will be tested,joy,25
1256,UK police slammed over terror raid,fear,100
1257,Mogadishu residents flee blasts,fear,25
1258,Bomb kills 18 on military bus in Iran,sadness,100
1259,"'WarioWare,' Wii make perfect fit",joy,25
1260,U.S. at odds with cleric's aide,fear,25
1261,Desperate Iraqi mother relies on militia for help,sadness,100
1262,Full details of the EU report on Iran,surprise,25
1263,Singer on Cowell: Glad he was mean,joy,25
1264,Jones faces Europe meetings snub,sadness,25
1265,Beckham goal helps Real snatch win,joy,100
1266,Guinea: Plan offices close as country declares emergency,fear,100
1267,Japan's economy grows,joy,100
1268,United Nations peacekeepers raid Haitian slum,joy,25
1269,Work starts on Arctic seed vault,joy,100
1270,Social networking goes mobile,joy,100
1271,"Beauticians cut, curl, offer stroke-prevention info",joy,100
1272,"Siesta cuts risk of heart disease death, study finds",surprise,100
1273,Thomas Cook to merge with MyTravel,joy,25
1274,Nap your way to a successful career,joy,25
1275,Village buried by 100 inches of snow,sadness,100
