id,text,emotions
1,Mortar assault leaves at least 18 dead,sadness
2,Goal delight for Sheva,joy
3,Nigeria hostage feared dead is freed,joy
4,Bombers kill shoppers,fear
5,"Vegetables, not fruit, slow brain decline",surprise
6,PM: Havana deal a good experiment,joy
7,Kate is marrying Doherty,joy
8,NASA revisiting life on Mars question,surprise
9,"Happy birthday, iPod",joy
10,Alonso would be happy to retire with three titles,joy
11,Madonna's New Tot 'Happy at Home' in London,joy
12,Nicole Kidman asks dad to help stop husband's drinking,sadness
13,United Finds Good Connection in Win,joy
14,'Runway': Making Good Without Making Nice,joy
15,"We were 'arrogant and stupid' over Iraq, says US diplomat",sadness
16,Bad reasons to be good,sadness
17,Madonna's new baby's daddy didn't realize adoption was `for good',surprise
18,Women in their 60s 'are perfectly good mothers',sadness
19,We're a pretty kind 'bully',joy
20,Moderate drinking reduces men's heart attack risk,joy
21,Tom Cruise and Katie Holmes set wedding date,joy
22,Kidnapped AP photographer freed in Gaza,fear
23,"Bush Insists Troops Stay in Iraq, Predicts Midterm Victory",disgust
24,Hurricane Paul Weakens To Tropical Storm,surprise
25,UK announces immigration restrictions,anger
26,Three found alive from missing Russian ship -report,joy
27,Poison Pill to Swallow: Hawks Hurting After Loss to Vikes,sadness
28,Injured Marathon Winner Leaves Hospital,joy
29,Hacker unlocks Apple music download protection,surprise
30,Spanish journalist seized in Gaza,fear
31,Sudan urges UN to replace its special envoy,surprise
32,Resolution approved for international games,joy
33,Pair of Satellites Will Document Sun in 3-D,joy
34,Martian Life Could Have Evaded Detection by Viking Landers,surprise
35,The sweet tune of an anniversary,joy
36,Did Viking Probes Miss Life on Mars?,surprise
37,Diplomat acknowledges US arrogance in Iraq,anger
38,More Human Remains Found at Ground Zero,sadness
39,How to Prevent Iraq From Getting Even Worse,fear
40,Tensions as Hungary marks uprising,fear
41,Stanford study warns of Internet addiction,fear
42,No evidence of ice reserves on the moon,sadness
43,A Picture and A Thousand Words,anger
44,Parachutist dies at bridge-jump festival,sadness
45,US Troops Killed In October In Iraq,sadness
46,"Chefs not counting calories, study finds",sadness
47,Deaths linked to flu vaccine,sadness
48,Perfect lives lose their focus,joy
49,Bread-Heavy Diet Linked to Kidney Cancer,fear
50,Beating poverty in a small way,joy
51,Israel insists on Lebanon overflights,anger
52,Britain to restrict immigrants from new EU members,disgust
53,Confusion Reigns In the Expanding Digital World,surprise
54,Game on! London exhibition celebrates the history of video games,joy
55,Making peace from victory over poverty,joy
56,Marine killed in fighting west of Baghdad,sadness
57,Scientists create first cloaking device,joy
