id,text,emotions,Degree
1,Mortar assault leaves at least 18 dead,sadness,50
2,Goal delight for Sheva,joy,50
3,Nigeria hostage feared dead is freed,joy,50
4,Bombers kill shoppers,fear,50
5,"Vegetables, not fruit, slow brain decline",surprise,50
6,PM: Havana deal a good experiment,joy,25
7,Kate is marrying Doherty,joy,50
8,NASA revisiting life on Mars question,surprise,25
9,"Happy birthday, iPod",joy,50
10,Alonso would be happy to retire with three titles,joy,50
11,Madonna's New Tot 'Happy at Home' in London,joy,50
12,Nicole Kidman asks dad to help stop husband's drinking,sadness,25
13,United Finds Good Connection in Win,joy,50
14,'Runway': Making Good Without Making Nice,joy,25
15,"We were 'arrogant and stupid' over Iraq, says US diplomat",sadness,50
16,Bad reasons to be good,sadness,25
17,Madonna's new baby's daddy didn't realize adoption was `for good',surprise,50
18,Women in their 60s 'are perfectly good mothers',sadness,25
19,We're a pretty kind 'bully',joy,25
20,Moderate drinking reduces men's heart attack risk,joy,50
21,Tom Cruise and Katie Holmes set wedding date,joy,50
22,Kidnapped AP photographer freed in Gaza,fear,50
23,"Bush Insists Troops Stay in Iraq, Predicts Midterm Victory",disgust,50
24,Hurricane Paul Weakens To Tropical Storm,surprise,25
25,UK announces immigration restrictions,anger,50
26,Three found alive from missing Russian ship -report,joy,50
27,Poison Pill to Swallow: Hawks Hurting After Loss to Vikes,sadness,25
28,Injured Marathon Winner Leaves Hospital,joy,50
29,Hacker unlocks Apple music download protection,surprise,50
30,Spanish journalist seized in Gaza,fear,50
31,Sudan urges UN to replace its special envoy,surprise,25
32,Resolution approved for international games,joy,50
33,Pair of Satellites Will Document Sun in 3-D,joy,50
34,Martian Life Could Have Evaded Detection by Viking Landers,surprise,25
35,The sweet tune of an anniversary,joy,50
36,Did Viking Probes Miss Life on Mars?,surprise,50
37,Diplomat acknowledges US arrogance in Iraq,anger,50
38,More Human Remains Found at Ground Zero,sadness,50
39,How to Prevent Iraq From Getting Even Worse,fear,50
40,Tensions as Hungary marks uprising,fear,25
41,Stanford study warns of Internet addiction,fear,25
42,No evidence of ice reserves on the moon,sadness,25
43,A Picture and A Thousand Words,anger,25
44,Parachutist dies at bridge-jump festival,sadness,50
45,US Troops Killed In October In Iraq,sadness,50
46,"Chefs not counting calories, study finds",sadness,25
47,Deaths linked to flu vaccine,sadness,50
48,Perfect lives lose their focus,joy,25
49,Bread-Heavy Diet Linked to Kidney Cancer,fear,50
50,Beating poverty in a small way,joy,25
51,Israel insists on Lebanon overflights,anger,50
52,Britain to restrict immigrants from new EU members,disgust,25
53,Confusion Reigns In the Expanding Digital World,surprise,25
54,Game on! London exhibition celebrates the history of video games,joy,50
55,Making peace from victory over poverty,joy,50
56,Marine killed in fighting west of Baghdad,sadness,50
57,Scientists create first cloaking device,joy,25
58,Amateur rocket scientists reach for space,joy,25
59,Confusion Reigns In the Expanding Digital World,surprise,25
60,Deaths linked to flu vaccine,sadness,50
61,Israel admits using phosphorous shells in Lebanon,sadness,50
62,4th person dies after receiving flu shot,sadness,50
63,Police and shoppers targeted in growing Iraq violence,fear,50
64,Scientists discover miracle in the depths,surprise,75
65,Doctors Seeing Patients Who Think They're Internet Addicted,sadness,25
66,China launches two satellites into orbit,joy,25
